date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:43	84/84	---MC-	302	error ('Found')	text/html	date:Thu,%2015%20Aug%202019%2010:49:42%20GMT	https://kahvebot.com/robots.txt		(from )
13:49:43	16075/16075	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Aug%202019%2010:49:43%20GMT	https://kahvebot.com/	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/index.html	(from )
13:49:44	88145/88145	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215851-16ae89228f0%22	https://kahvebot.com/public/js/jquery-3.4.1.min.js	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/js/jquery-3.4.1.min.js	(from https://kahvebot.com/)
13:49:45	20537/20537	---MCZ	200	added ('OK')	application/javascript	etag:W/%225039-16ae89230c0%22	https://kahvebot.com/public/js/popper.min.js	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/js/popper.min.js	(from https://kahvebot.com/)
13:49:46	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e2d8-16ae89228f0%22	https://kahvebot.com/public/js/bootstrap.min.js	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/js/bootstrap.min.js	(from https://kahvebot.com/)
13:49:48	211582/211582	---MCZ	200	added ('OK')	application/javascript	etag:W/%2233a7e-16ae89230c0%22	https://kahvebot.com/public/js/mdb.min.js	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/js/mdb.min.js	(from https://kahvebot.com/)
13:49:48	55183/55183	---MCZ	200	added ('OK')	text/css	etag:W/%2277cbad34e5ce95e70847b074e05faeab%22	https://use.fontawesome.com/releases/v5.8.2/css/all.css	/storage/emulated/0/HTTrack/kahve/kahve/use.fontawesome.com/releases/v5.8.2/css/all.css	(from https://kahvebot.com/)
13:49:49	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%222606e-16ae89228f0%22	https://kahvebot.com/public/css/bootstrap.min.css	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/css/bootstrap.min.css	(from https://kahvebot.com/)
13:49:51	258895/258895	---MCZ	200	added ('OK')	text/css	etag:W/%223f34f-16ae89228f0%22	https://kahvebot.com/public/css/mdb.min.css	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/css/mdb.min.css	(from https://kahvebot.com/)
13:49:52	14376/14376	---MCZ	200	added ('OK')	text/css	etag:W/%223828-16c49cbd980%22	https://kahvebot.com/public/css/style.css	/storage/emulated/0/HTTrack/kahve/kahve/kahvebot.com/public/css/style.css	(from https://kahvebot.com/)
